PRISM Time Series Data
Location:  Lat: 44.9479   Lon: -109.6444   Elev: 2686m
Climate variable: tmean
Spatial resolution: 4km
Period: 1895-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2021-Apr-23
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmean (degrees C)
1895-01,-11.6
1895-02,-11.2
1895-03,-6.5
1895-04,1.2
1895-05,3.8
1895-06,5.9
1895-07,10.9
1895-08,11.1
1895-09,5.9
1895-10,2.0
1895-11,-6.9
1895-12,-10.0
1896-01,-8.3
1896-02,-5.4
1896-03,-7.8
1896-04,-2.6
1896-05,1.2
1896-06,9.1
1896-07,12.5
1896-08,11.3
1896-09,5.4
1896-10,1.5
1896-11,-10.0
1896-12,-4.7
1897-01,-10.3
1897-02,-9.6
1897-03,-10.1
1897-04,-0.5
1897-05,7.8
1897-06,7.7
1897-07,10.9
1897-08,13.2
1897-09,9.0
1897-10,1.6
1897-11,-5.6
1897-12,-9.7
1898-01,-10.8
1898-02,-7.1
1898-03,-11.0
1898-04,-0.1
1898-05,2.0
1898-06,7.0
1898-07,11.3
1898-08,12.2
1898-09,6.5
1898-10,-1.0
1898-11,-7.6
1898-12,-11.1
1899-01,-11.0
1899-02,-17.4
1899-03,-9.3
1899-04,-2.0
1899-05,1.6
1899-06,7.6
1899-07,12.0
1899-08,9.5
1899-09,7.8
1899-10,-0.7
1899-11,-2.3
1899-12,-8.9
1900-01,-7.5
1900-02,-11.9
1900-03,-4.5
1900-04,-0.0
1900-05,5.1
1900-06,11.4
1900-07,10.7
1900-08,10.2
1900-09,5.2
1900-10,2.0
1900-11,-5.6
1900-12,-6.3
1901-01,-8.7
1901-02,-10.9
1901-03,-6.1
1901-04,-1.5
1901-05,6.8
1901-06,5.6
1901-07,14.2
1901-08,12.6
1901-09,4.4
1901-10,3.9
1901-11,-2.2
1901-12,-8.2
1902-01,-10.5
1902-02,-6.3
1902-03,-7.2
1902-04,-1.5
1902-05,4.9
1902-06,6.7
1902-07,8.8
1902-08,9.4
1902-09,5.2
1902-10,1.5
1902-11,-6.1
1902-12,-9.5
1903-01,-8.1
1903-02,-13.7
1903-03,-7.1
1903-04,-2.7
1903-05,1.8
1903-06,8.2
1903-07,9.0
1903-08,10.0
1903-09,3.5
1903-10,2.3
1903-11,-5.7
1903-12,-7.4
1904-01,-10.3
1904-02,-7.8
1904-03,-7.2
1904-04,-0.5
1904-05,2.8
1904-06,6.8
1904-07,9.6
1904-08,10.2
1904-09,6.2
1904-10,2.2
1904-11,-2.4
1904-12,-7.8
1905-01,-9.6
1905-02,-10.9
1905-03,-4.4
1905-04,-1.0
1905-05,1.0
1905-06,6.1
1905-07,9.5
1905-08,11.6
1905-09,7.6
1905-10,-1.9
1905-11,-4.9
1905-12,-10.3
1906-01,-8.4
1906-02,-7.4
1906-03,-10.6
1906-04,-0.6
1906-05,3.4
1906-06,5.6
1906-07,11.5
1906-08,9.7
1906-09,7.2
1906-10,1.3
1906-11,-6.3
1906-12,-5.1
1907-01,-13.3
1907-02,-5.3
1907-03,-3.7
1907-04,-3.0
1907-05,1.1
1907-06,6.2
1907-07,9.4
1907-08,9.5
1907-09,5.6
1907-10,3.3
1907-11,-4.4
1907-12,-8.1
1908-01,-8.1
1908-02,-7.7
1908-03,-6.2
1908-04,1.1
1908-05,2.5
1908-06,5.1
1908-07,12.9
1908-08,9.4
1908-09,7.1
1908-10,0.1
1908-11,-4.9
1908-12,-8.9
1909-01,-10.4
1909-02,-9.8
1909-03,-6.4
1909-04,-4.7
1909-05,1.7
1909-06,8.2
1909-07,10.6
1909-08,11.4
1909-09,6.4
1909-10,0.6
1909-11,-2.6
1909-12,-13.8
1910-01,-12.5
1910-02,-13.0
1910-03,-0.1
1910-04,2.3
1910-05,3.5
1910-06,8.1
1910-07,11.8
1910-08,8.3
1910-09,6.0
1910-10,1.7
1910-11,-5.2
1910-12,-8.4
1911-01,-10.3
1911-02,-11.9
1911-03,-4.6
1911-04,-2.2
1911-05,3.0
1911-06,8.7
1911-07,9.7
1911-08,7.9
1911-09,4.9
1911-10,-1.6
1911-11,-10.1
1911-12,-12.3
1912-01,-10.1
1912-02,-9.6
1912-03,-11.4
1912-04,-2.6
1912-05,2.2
1912-06,7.6
1912-07,8.5
1912-08,8.3
1912-09,2.3
1912-10,-1.0
1912-11,-3.3
1912-12,-10.6
1913-01,-12.9
1913-02,-12.1
1913-03,-7.4
1913-04,-1.4
1913-05,3.8
1913-06,7.9
1913-07,8.8
1913-08,10.3
1913-09,5.4
1913-10,-2.8
1913-11,-4.2
1913-12,-9.4
1914-01,-6.5
1914-02,-9.6
1914-03,-4.8
1914-04,-0.2
1914-05,3.8
1914-06,6.7
1914-07,12.3
1914-08,10.3
1914-09,5.5
1914-10,2.2
1914-11,-2.4
1914-12,-12.5
1915-01,-10.7
1915-02,-5.0
1915-03,-5.8
1915-04,2.5
1915-05,2.3
1915-06,3.4
1915-07,9.0
1915-08,10.6
1915-09,4.7
1915-10,1.6
1915-11,-4.4
1915-12,-7.9
1916-01,-18.4
1916-02,-9.7
1916-03,-0.7
1916-04,0.5
1916-05,2.3
1916-06,6.9
1916-07,11.7
1916-08,9.8
1916-09,5.8
1916-10,-0.9
1916-11,-8.7
1916-12,-13.6
1917-01,-12.8
1917-02,-11.7
1917-03,-10.1
1917-04,-3.8
1917-05,1.0
1917-06,5.9
1917-07,13.2
1917-08,9.9
1917-09,7.1
1917-10,-0.0
1917-11,-0.2
1917-12,-8.4
1918-01,-11.5
1918-02,-9.5
1918-03,-3.7
1918-04,-3.1
1918-05,2.0
1918-06,10.8
1918-07,10.6
1918-08,10.2
1918-09,6.0
1918-10,2.3
1918-11,-6.0
1918-12,-6.3
1919-01,-6.8
1919-02,-10.7
1919-03,-5.3
1919-04,0.1
1919-05,5.1
1919-06,11.3
1919-07,12.3
1919-08,12.2
1919-09,7.2
1919-10,-5.6
1919-11,-9.6
1919-12,-12.3
1920-01,-7.5
1920-02,-7.8
1920-03,-8.4
1920-04,-5.6
1920-05,2.6
1920-06,6.3
1920-07,11.0
1920-08,11.0
1920-09,7.2
1920-10,0.7
1920-11,-6.7
1920-12,-8.5
1921-01,-6.5
1921-02,-6.1
1921-03,-5.2
1921-04,-2.4
1921-05,2.4
1921-06,8.2
1921-07,10.4
1921-08,10.3
1921-09,4.2
1921-10,4.0
1921-11,-6.5
1921-12,-10.2
1922-01,-13.5
1922-02,-13.6
1922-03,-7.1
1922-04,-3.3
1922-05,4.0
1922-06,9.1
1922-07,10.0
1922-08,13.1
1922-09,9.1
1922-10,0.8
1922-11,-8.6
1922-12,-10.0
1923-01,-7.4
1923-02,-11.5
1923-03,-9.2
1923-04,-2.8
1923-05,3.4
1923-06,7.7
1923-07,13.3
1923-08,9.3
1923-09,7.0
1923-10,-1.2
1923-11,-4.5
1923-12,-10.7
1924-01,-12.1
1924-02,-5.8
1924-03,-10.1
1924-04,-3.1
1924-05,2.8
1924-06,6.7
1924-07,10.0
1924-08,9.4
1924-09,6.7
1924-10,1.6
1924-11,-4.5
1924-12,-13.3
1925-01,-8.2
1925-02,-4.8
1925-03,-3.4
1925-04,0.3
1925-05,4.2
1925-06,7.8
1925-07,13.2
1925-08,10.3
1925-09,6.7
1925-10,-3.6
1925-11,-5.7
1925-12,-5.3
1926-01,-7.5
1926-02,-4.4
1926-03,-6.2
1926-04,-0.1
1926-05,5.3
1926-06,8.3
1926-07,12.2
1926-08,11.4
1926-09,4.2
1926-10,2.5
1926-11,-3.4
1926-12,-8.5
1927-01,-9.5
1927-02,-7.7
1927-03,-5.1
1927-04,-2.4
1927-05,0.6
1927-06,8.0
1927-07,10.9
1927-08,8.9
1927-09,5.8
1927-10,2.4
1927-11,-3.8
1927-12,-13.2
1928-01,-7.1
1928-02,-9.7
1928-03,-4.0
1928-04,-3.3
1928-05,7.4
1928-06,6.0
1928-07,12.2
1928-08,10.0
1928-09,6.7
1928-10,1.3
1928-11,-4.9
1928-12,-10.3
1929-01,-13.2
1929-02,-12.6
1929-03,-4.8
1929-04,-4.4
1929-05,2.0
1929-06,8.8
1929-07,13.0
1929-08,12.8
1929-09,4.4
1929-10,2.6
1929-11,-9.4
1929-12,-6.3
1930-01,-16.9
1930-02,-3.9
1930-03,-7.5
1930-04,2.5
1930-05,3.2
1930-06,8.0
1930-07,13.8
1930-08,12.9
1930-09,7.1
1930-10,-0.1
1930-11,-4.5
1930-12,-6.9
1931-01,-6.2
1931-02,-4.1
1931-03,-6.3
1931-04,-0.1
1931-05,4.0
1931-06,10.3
1931-07,13.7
1931-08,10.1
1931-09,7.3
1931-10,1.8
1931-11,-6.7
1931-12,-9.6
1932-01,-11.8
1932-02,-8.0
1932-03,-9.5
1932-04,-0.2
1932-05,4.9
1932-06,9.1
1932-07,12.0
1932-08,12.0
1932-09,7.3
1932-10,-0.5
1932-11,-2.4
1932-12,-12.4
1933-01,-7.7
1933-02,-12.7
1933-03,-4.9
1933-04,-3.0
1933-05,2.7
1933-06,12.3
1933-07,14.0
1933-08,11.0
1933-09,7.1
1933-10,4.0
1933-11,-1.5
1933-12,-5.8
1934-01,-4.1
1934-02,-4.3
1934-03,-2.5
1934-04,3.3
1934-05,8.3
1934-06,7.8
1934-07,13.5
1934-08,11.6
1934-09,4.7
1934-10,4.8
1934-11,-1.7
1934-12,-6.5
1935-01,-7.8
1935-02,-5.2
1935-03,-6.3
1935-04,-2.8
1935-05,3.5
1935-06,7.9
1935-07,13.4
1935-08,11.8
1935-09,8.4
1935-10,1.0
1935-11,-8.1
1935-12,-7.6
1936-01,-10.0
1936-02,-17.0
1936-03,-6.9
1936-04,-2.1
1936-05,7.6
1936-06,10.5
1936-07,15.7
1936-08,13.3
1936-09,6.9
1936-10,1.8
1936-11,-5.0
1936-12,-7.1
1937-01,-18.2
1937-02,-9.0
1937-03,-6.8
1937-04,-0.6
1937-05,7.0
1937-06,8.2
1937-07,13.3
1937-08,12.0
1937-09,8.0
1937-10,3.3
1937-11,-5.2
1937-12,-7.4
1938-01,-7.7
1938-02,-6.7
1938-03,-4.7
1938-04,-0.8
1938-05,3.7
1938-06,10.5
1938-07,11.8
1938-08,11.4
1938-09,10.1
1938-10,2.2
1938-11,-7.8
1938-12,-7.2
1939-01,-6.8
1939-02,-13.1
1939-03,-4.2
1939-04,2.3
1939-05,7.3
1939-06,7.1
1939-07,14.4
1939-08,12.5
1939-09,8.8
1939-10,2.7
1939-11,-1.8
1939-12,-3.0
1940-01,-12.2
1940-02,-7.2
1940-03,-2.9
1940-04,0.5
1940-05,5.8
1940-06,10.4
1940-07,13.8
1940-08,12.9
1940-09,10.1
1940-10,3.5
1940-11,-7.9
1940-12,-6.4
1941-01,-7.4
1941-02,-5.9
1941-03,-4.4
1941-04,-0.2
1941-05,5.6
1941-06,9.4
1941-07,12.4
1941-08,11.4
1941-09,4.1
1941-10,0.5
1941-11,-3.0
1941-12,-6.9
1942-01,-11.2
1942-02,-11.5
1942-03,-7.0
1942-04,0.9
1942-05,2.0
1942-06,6.1
1942-07,12.2
1942-08,11.7
1942-09,7.4
1942-10,1.9
1942-11,-6.1
1942-12,-6.9
1943-01,-12.4
1943-02,-5.9
1943-03,-10.6
1943-04,2.9
1943-05,2.1
1943-06,7.0
1943-07,12.4
1943-08,12.0
1943-09,7.7
1943-10,3.4
1943-11,-2.7
1943-12,-7.4
1944-01,-8.4
1944-02,-8.9
1944-03,-7.7
1944-04,0.9
1944-05,5.0
1944-06,7.0
1944-07,10.3
1944-08,11.5
1944-09,7.0
1944-10,4.3
1944-11,-5.2
1944-12,-9.1
1945-01,-7.1
1945-02,-9.0
1945-03,-5.1
1945-04,-4.2
1945-05,2.8
1945-06,5.2
1945-07,12.1
1945-08,10.8
1945-09,6.2
1945-10,3.9
1945-11,-4.9
1945-12,-9.1
1946-01,-8.5
1946-02,-7.4
1946-03,-2.9
